timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label
18215,1.00,0.04,-0.08,-0.24,0.31,0.06,-45.00,-34.00,24.00,sitting_down
18309,1.00,0.04,-0.08,-0.12,0.00,0.18,-44.00,-33.00,20.00,sitting_down
18402,1.00,0.04,-0.07,-0.37,0.06,0.43,-45.00,-35.00,24.00,sitting_down
18508,1.00,0.04,-0.07,-0.79,-0.37,0.18,-45.00,-35.00,20.00,sitting_down
18601,1.00,0.04,-0.07,-0.55,-0.73,0.18,-42.00,-33.00,23.00,sitting_down
18707,1.00,0.04,-0.07,-1.65,-1.04,0.18,-46.00,-34.00,28.00,sitting_down
18800,1.00,0.04,-0.07,-0.24,-0.55,-0.31,-46.00,-34.00,28.00,sitting_down
18906,1.00,0.04,-0.07,-1.04,-0.79,-0.06,-44.00,-34.00,28.00,sitting_down
18999,1.00,0.04,-0.07,-0.85,-0.98,0.18,-44.00,-36.00,23.00,sitting_down
19105,1.00,0.04,-0.06,-0.98,-0.92,0.12,-43.00,-33.00,30.00,sitting_down
19198,1.00,0.04,-0.06,-0.12,-0.73,0.18,-43.00,-34.00,19.00,sitting_down
19304,1.00,0.03,-0.07,-0.61,-0.37,0.00,-48.00,-33.00,20.00,sitting_down
19397,1.00,0.04,-0.07,-0.85,-1.04,0.12,-44.00,-35.00,30.00,sitting_down
19503,1.01,0.04,-0.07,-0.31,0.24,0.00,-44.00,-34.00,23.00,sitting_down
19596,1.00,0.04,-0.06,0.37,2.44,0.24,-46.00,-33.00,25.00,sitting_down
19689,1.00,0.04,-0.07,-1.28,1.40,0.43,-43.00,-34.00,27.00,sitting_down
19795,1.00,0.04,-0.06,0.18,-0.55,-0.98,-44.00,-31.00,28.00,sitting_down
19888,1.00,0.04,-0.07,-1.10,-0.55,-0.43,-46.00,-33.00,18.00,sitting_down
19994,1.00,0.04,-0.07,-3.05,-3.78,0.12,-45.00,-33.00,28.00,sitting_down
20087,1.00,0.04,-0.06,-1.77,-0.73,0.55,-44.00,-34.00,27.00,sitting_down
20194,1.00,0.04,-0.06,0.37,0.79,-0.24,-43.00,-35.00,30.00,sitting_down
20287,1.00,0.04,-0.06,-0.31,-0.12,0.31,-45.00,-36.00,24.00,sitting_down
20393,1.00,0.04,-0.07,0.31,0.00,-0.37,-47.00,-31.00,27.00,sitting_down
20486,1.01,0.04,-0.07,0.00,0.12,0.31,-44.00,-34.00,25.00,sitting_down
20581,1.01,0.03,-0.08,0.37,0.49,-0.06,-43.00,-34.00,25.00,sitting_down
20687,1.00,0.04,-0.06,-0.55,-0.24,-0.06,-44.00,-33.00,27.00,sitting_down
20780,1.00,0.04,-0.06,-0.67,-0.12,0.00,-44.00,-34.00,25.00,sitting_down
20886,1.01,0.04,-0.07,-0.31,-0.31,-0.12,-44.00,-35.00,23.00,sitting_down
