timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label
15529,-0.97,-0.01,0.09,-0.37,0.18,-0.12,-47.00,55.00,38.00,sitting_up
15622,-0.97,-0.01,0.09,0.49,-0.31,-0.67,-45.00,51.00,40.00,sitting_up
15728,-0.97,-0.01,0.09,0.00,0.85,-0.24,-46.00,52.00,37.00,sitting_up
15822,-0.97,-0.01,0.10,-0.18,1.40,-0.67,-48.00,54.00,37.00,sitting_up
15928,-0.97,-0.01,0.10,0.49,1.59,1.95,-50.00,54.00,40.00,sitting_up
16021,-0.97,-0.01,0.10,0.18,0.43,1.59,-46.00,51.00,37.00,sitting_up
16114,-0.97,-0.02,0.10,0.12,0.49,0.06,-45.00,51.00,36.00,sitting_up
16220,-0.97,-0.02,0.10,0.24,2.69,1.95,-46.00,53.00,38.00,sitting_up
16313,-0.97,-0.02,0.11,0.49,2.44,2.81,-45.00,52.00,45.00,sitting_up
16419,-0.97,-0.03,0.11,0.43,4.70,2.69,-48.00,51.00,42.00,sitting_up
16512,-0.97,-0.03,0.13,0.67,5.62,3.91,-48.00,51.00,38.00,sitting_up
16618,-0.97,-0.04,0.12,1.28,-5.00,-2.93,-47.00,49.00,38.00,sitting_up
16711,-0.97,-0.02,0.11,1.04,-8.61,-7.26,-48.00,54.00,39.00,sitting_up
16817,-0.97,-0.02,0.10,0.00,3.66,2.20,-49.00,49.00,38.00,sitting_up
16910,-0.97,-0.03,0.12,-0.43,5.25,3.30,-49.00,50.00,39.00,sitting_up
17016,-0.97,-0.03,0.12,-0.12,-5.13,-3.36,-47.00,49.00,36.00,sitting_up
17109,-0.97,-0.02,0.10,0.00,-7.45,-4.76,-49.00,49.00,36.00,sitting_up
17215,-0.97,-0.01,0.09,-1.16,-1.95,-2.75,-47.00,51.00,38.00,sitting_up
17308,-0.97,-0.01,0.09,-0.98,-0.55,-0.98,-48.00,50.00,39.00,sitting_up
17414,-0.97,-0.01,0.09,-0.79,1.71,0.73,-48.00,49.00,38.00,sitting_up
17507,-0.97,-0.01,0.10,-0.61,1.83,-0.24,-48.00,49.00,35.00,sitting_up
17613,-0.97,-0.01,0.09,-0.37,0.79,0.73,-48.00,50.00,34.00,sitting_up
17706,-0.97,-0.02,0.10,-0.73,1.77,1.89,-47.00,48.00,38.00,sitting_up
17799,-0.97,-0.02,0.10,-1.04,-0.55,0.06,-46.00,49.00,35.00,sitting_up
17905,-0.97,-0.02,0.10,-0.67,1.10,0.61,-49.00,49.00,34.00,sitting_up
17998,-0.97,-0.02,0.10,-0.49,1.40,-0.49,-46.00,47.00,37.00,sitting_up
18104,-0.97,-0.02,0.11,-0.61,0.06,-0.18,-49.00,49.00,39.00,sitting_up
18197,-0.97,-0.02,0.10,-1.22,0.55,-0.31,-50.00,49.00,41.00,sitting_up
18303,-0.97,-0.02,0.10,-0.61,0.73,-0.24,-49.00,51.00,36.00,sitting_up
18396,-0.97,-0.02,0.11,-0.61,0.79,-0.49,-49.00,50.00,41.00,sitting_up
18502,-0.97,-0.02,0.11,0.06,1.59,0.55,-48.00,49.00,38.00,sitting_up
18595,-0.97,-0.02,0.11,-0.67,0.24,-0.73,-48.00,47.00,39.00,sitting_up
18701,-0.97,-0.02,0.11,1.16,0.43,0.43,-45.00,48.00,34.00,sitting_up
18794,-0.97,-0.02,0.11,0.24,1.16,1.10,-49.00,51.00,40.00,sitting_up
18900,-0.97,-0.02,0.11,-0.37,-0.12,-0.31,-48.00,47.00,34.00,sitting_up
18993,-0.97,-0.02,0.11,-0.55,0.67,-0.06,-51.00,49.00,38.00,sitting_up
19099,-0.97,-0.02,0.11,-0.85,-1.46,-0.67,-50.00,50.00,33.00,sitting_up
19192,-0.97,-0.01,0.11,-0.85,-0.55,-0.37,-48.00,49.00,33.00,sitting_up
19298,-0.97,-0.02,0.11,-0.31,0.31,0.06,-48.00,48.00,35.00,sitting_up
19391,-0.97,-0.01,0.11,0.12,-1.10,-0.85,-45.00,47.00,33.00,sitting_up
19485,-0.97,-0.01,0.11,-0.31,-0.37,-0.12,-48.00,49.00,36.00,sitting_up
19591,-0.97,-0.01,0.11,-0.24,-0.31,0.00,-49.00,48.00,40.00,sitting_up
19684,-0.97,-0.01,0.10,-0.73,-0.67,-0.85,-48.00,48.00,36.00,sitting_up
19790,-0.97,-0.01,0.10,0.24,0.31,0.73,-49.00,50.00,38.00,sitting_up
19883,-0.97,-0.01,0.10,-0.73,0.12,-0.31,-49.00,48.00,34.00,sitting_up
19989,-0.97,-0.01,0.10,-0.43,0.92,-0.06,-49.00,49.00,34.00,sitting_up
20082,-0.97,-0.01,0.11,0.43,0.79,0.06,-48.00,50.00,38.00,sitting_up
20188,-0.97,-0.01,0.11,0.06,1.71,0.43,-47.00,50.00,31.00,sitting_up
20281,-0.97,-0.01,0.11,-0.24,-0.31,-0.55,-49.00,50.00,35.00,sitting_up
20387,-0.97,-0.02,0.11,-0.18,3.11,2.26,-49.00,48.00,44.00,sitting_up
20480,-0.97,-0.02,0.12,-1.16,3.85,2.14,-48.00,48.00,34.00,sitting_up
20586,-0.97,-0.03,0.12,-0.24,-0.73,2.56,-51.00,50.00,41.00,sitting_up
20679,-0.97,-0.03,0.11,1.28,0.92,1.59,-52.00,49.00,36.00,sitting_up
20772,-0.97,-0.03,0.12,0.49,4.21,2.01,-50.00,49.00,38.00,sitting_up
20878,-0.97,-0.04,0.14,-0.79,3.36,3.30,-52.00,49.00,39.00,sitting_up
20971,-0.97,-0.04,0.12,0.61,-8.67,-3.17,-51.00,48.00,35.00,sitting_up
21077,-0.97,-0.03,0.10,-0.92,-2.50,-1.40,-51.00,49.00,40.00,sitting_up
21170,-0.97,-0.03,0.11,-0.43,1.10,1.04,-49.00,48.00,36.00,sitting_up
21276,-0.97,-0.04,0.12,-0.12,2.01,2.93,-48.00,49.00,37.00,sitting_up
21369,-0.97,-0.04,0.12,-1.46,4.64,2.99,-49.00,51.00,42.00,sitting_up
21475,-0.97,-0.04,0.13,-1.10,4.70,1.34,-48.00,49.00,36.00,sitting_up
21568,-0.96,-0.04,0.13,-0.12,-0.67,-2.08,-50.00,47.00,40.00,sitting_up
21674,-0.97,-0.04,0.13,2.75,-4.03,-2.26,-50.00,49.00,43.00,sitting_up
21767,-0.97,-0.04,0.12,1.46,-7.93,-4.88,-46.00,48.00,34.00,sitting_up
21873,-0.97,-0.02,0.10,1.34,-10.80,-8.36,-49.00,51.00,40.00,sitting_up
21966,-0.98,-0.01,0.08,-0.37,-4.52,-4.15,-46.00,49.00,37.00,sitting_up
22072,-0.97,-0.02,0.09,2.32,-3.23,-2.62,-50.00,51.00,41.00,sitting_up
22166,-0.97,-0.01,0.08,3.66,-6.04,-4.27,-49.00,51.00,42.00,sitting_up
22259,-0.97,0.00,0.05,5.07,-8.42,-8.73,-47.00,52.00,35.00,sitting_up
22365,-0.98,0.01,0.04,-1.28,-0.92,1.46,-46.00,49.00,34.00,sitting_up
22458,-0.97,0.00,0.06,3.85,10.56,1.89,-47.00,49.00,33.00,sitting_up
