X,Y,Z,label
0.3891,2.07558,0.03446,3
0.34342,2.03107,0.04917,3
0.35174,2.04761,0.05123,3
0.35179,1.99497,0.04747,3
0.34257,1.99289,0.05429,3
0.35145,1.99278,0.02366,3
0.32827,1.99937,0.05071,3
0.38064,1.97708,0.05546,3
0.36802,1.96208,0.04778,3
0.41339,1.96951,0.03611,3
0.33367,1.9492,0.12401,3
0.33417,1.9331,0.13934,3
0.32949,1.93199,0.11224,3
0.37755,2.00629,0.12494,3
0.38995,1.98566,0.11352,3
0.41053,2.00141,0.13022,3
0.49287,2.0448,0.00639,3
0.50227,2.0474,-0.03035,3
0.49002,2.05293,0.01054,3
0.43132,2.02505,0.00721,3
0.40591,2.06397,0.00413,3
0.46058,2.02283,0.06263,3
0.33816,2.03336,0.09866,3
0.35944,2.03868,0.09167,3
0.35561,2.02019,0.13084,3
0.33914,2.03864,0.10211,3
0.34316,2.03402,0.07229,3
0.34384,2.04705,0.10568,3
0.38314,2.05947,0.07689,3
0.37779,2.05037,0.08237,3
0.42042,2.07733,0.08938,3
0.38133,2.05747,0.07234,3
0.36994,2.07594,0.04991,3
0.3815,2.07499,0.07626,3
0.35841,2.04745,0.10794,3
0.35653,2.03773,0.11283,3
0.34886,2.03885,0.10984,3
0.36305,2.04381,0.11426,3
0.37768,2.02888,0.13186,3
0.36474,2.06342,0.127,3
0.36266,2.04122,0.10463,3
0.40368,2.0322,0.11392,3
0.37829,2.05599,0.07735,3
0.33927,2.03151,0.12607,3
0.34823,2.00743,0.12966,3
0.36221,2.02734,0.11072,3
0.35896,2.04193,0.12798,3
0.33114,2.03246,0.11573,3
0.37786,2.03303,0.12494,3
0.3686,2.04446,0.13266,3
0.38288,2.04126,0.14705,3
0.33077,2.04245,0.14258,3
0.36351,2.04317,0.1409,3
0.3408,2.043,0.13055,3
0.33937,2.03982,0.1465,3
0.41823,2.07996,0.10711,3
0.41903,2.11402,0.13831,3
0.41909,2.07694,0.11214,3
0.40864,2.06772,0.0989,3
0.41597,2.07145,0.09597,3
0.43272,2.07359,0.10305,3
0.36396,2.03454,0.14219,3
0.39719,2.03297,0.13119,3
0.34592,2.02595,0.15426,3
0.37384,2.02412,0.16138,3
0.39112,2.03515,0.1741,3
0.37244,2.01221,0.15623,3
0.36695,2.02432,0.15218,3
0.38924,2.0552,0.1229,3
0.39574,2.03454,0.13485,3
0.39814,2.05735,0.19149,3
0.386,2.03792,0.20364,3
0.40641,2.05321,0.1605,3
0.59783,2.10847,0.15182,3
0.61233,2.11961,0.17129,3
0.59349,2.13764,0.15389,3
0.55085,2.05854,0.0361,3
0.58029,2.0656,0.02399,3
0.55167,2.05472,0.05029,3
0.4732,1.98636,0.07766,3
0.48906,1.98517,0.09155,3
0.49053,2.00659,0.05512,3
0.48934,1.97188,0.2249,3
0.46079,1.98463,0.21343,3
0.46955,1.94305,0.23502,3
0.45399,1.99483,0.2513,3
0.45692,1.99351,0.27368,3
0.45478,1.96873,0.2377,3
0.46768,2.00054,0.24872,3
0.49465,1.98351,0.24729,3
0.44968,1.96157,0.24,3
0.48556,2.00947,0.25136,3
0.46708,2.00143,0.239,3
0.48829,2.02702,0.26198,3
0.50982,2.01359,0.29996,3
0.50731,2.01027,0.30134,3
0.53394,2.00728,0.28872,3
0.59016,2.02273,0.34142,3
0.62373,2.0074,0.35459,3
0.59531,2.00972,0.37743,3
0.21435,2.04265,0.32107,3
0.1826,2.00097,0.33013,3
0.21689,2.04152,0.32065,3
-0.33179,1.98999,0.17271,3
-0.30849,1.9699,0.15799,3
-0.32413,2.01515,0.17973,3
0.05031,1.9889,-0.09484,3
0.04195,2.02395,-0.11117,3
0.04645,2.0081,-0.08778,3
0.42986,1.98861,-0.17771,3
0.4014,1.9601,-0.20621,3
0.43569,1.96292,-0.21064,3
0.3783,1.98169,-0.14044,3
0.38652,1.94959,-0.15918,3
0.34513,1.96084,-0.09453,3
0.38387,2.00247,-0.10981,3
0.39137,1.97692,-0.08341,3
0.38362,1.98558,-0.13919,3
0.39894,2.00269,-0.11402,3
0.41876,2.00755,-0.1178,3
0.37108,2.02687,-0.11861,3
0.41122,1.99153,-0.11414,3
0.41194,2.01467,-0.12909,3
0.42365,1.98338,-0.12924,3
0.41231,1.98633,-0.10266,3
0.42022,2.00831,-0.14553,3
0.44035,1.97526,-0.09238,3
0.40881,1.98894,-0.11488,3
0.41207,2.01205,-0.08328,3
0.39919,1.97264,-0.10452,3
0.38151,1.99191,-0.12919,3
0.36403,2.02666,-0.10042,3
0.42,1.98979,-0.13081,3
0.38154,1.99672,-0.134,3
0.36751,1.98869,-0.09125,3
0.39242,2.01092,-0.12051,3
0.40333,2.00374,-0.13224,3
0.40644,2.01588,-0.13763,3
0.41121,2.00039,-0.13714,3
0.38323,2.00707,-0.13251,3
0.39258,1.99501,-0.09565,3
0.40701,2.01113,-0.11012,3
0.45567,1.98667,-0.18982,3
0.47075,1.98114,-0.19381,3
0.44174,1.99117,-0.22213,3
0.45703,1.98242,-0.19686,3
0.4246,1.99651,-0.17557,3
0.46561,1.97884,-0.19562,3
0.37886,1.996,-0.15141,3
0.39288,1.98408,-0.12525,3
0.38561,2.00959,-0.18661,3
0.70009,1.97831,-0.15038,3
0.69581,1.96087,-0.13579,3
0.70561,1.98596,-0.17042,3
0.87107,1.9781,-0.05457,3
0.86138,1.9792,-0.01253,3
0.86568,1.97614,-0.06481,3
0.57386,1.987,0.11075,3
0.58332,2.00074,0.08908,3
0.54978,1.98801,0.10115,3
0.44477,1.985,0.14448,3
0.47383,1.98873,0.147,3
0.46486,1.97202,0.16592,3
0.50839,2.00171,0.13266,3
0.51954,2.03345,0.10644,3
0.49476,2.00801,0.12508,3
0.54301,1.9992,0.16805,3
0.5501,1.98655,0.14584,3
0.52404,1.99834,0.15707,3
0.3575,1.97595,0.08084,3
0.39686,1.96857,0.08004,3
0.36166,1.96546,0.06481,3
0.26697,1.975,-0.0481,3
0.26989,1.97749,-0.07276,3
0.26604,1.96563,-0.05553,3
0.50426,1.983,0.02559,3
0.48149,1.98222,0.04807,3
0.5077,2.02679,0.0425,3
0.59349,1.98948,0.11978,3
0.59832,1.99069,0.15046,3
0.59715,1.98958,0.08478,3
0.49778,1.96376,0.09247,3
0.4871,1.99787,0.06221,3
0.5211,1.94007,0.1136,3
0.6259,1.84694,0.14889,3
0.64896,1.80047,0.15954,3
0.64641,1.82423,0.13339,3
-0.29135,0.15143,-1.64175,2
-0.28363,0.15959,-1.64847,2
-0.22082,0.13929,-1.60983,2
-0.17034,0.12103,-1.58623,2
-0.17977,0.0857,-1.58457,2
-0.1752,0.12452,-1.574,2
-0.33033,0.54803,-1.44266,2
-0.30464,0.51437,-1.44225,2
-0.2763,0.56418,-1.4799,2
-0.29696,0.36535,-1.4215,2
-0.28379,0.3299,-1.4187,2
-0.32315,0.39117,-1.41422,2
-0.26377,0.10733,-1.65485,2
-0.27282,0.08703,-1.60889,2
-0.25488,0.09675,-1.68019,2
-0.31692,0.27526,-1.48194,2
-0.30936,0.25473,-1.471,2
-0.30784,0.24232,-1.46078,2
-0.38009,0.22629,-1.45801,2
-0.40925,0.22672,-1.4618,2
-0.38587,0.2289,-1.47851,2
-0.46979,0.05284,-1.83411,2
-0.45132,0.02425,-1.84547,2
-0.47077,0.03445,-1.82854,2
-0.49025,0.13775,-1.63497,2
-0.48396,0.14505,-1.63842,2
-0.4969,0.11947,-1.62838,2
-0.34805,0.07733,-1.51505,2
-0.33782,0.05163,-1.54508,2
-0.37309,0.08493,-1.53089,2
-0.38573,0.26127,-1.55269,2
-0.39528,0.26873,-1.57907,2
-0.36168,0.25866,-1.52818,2
-0.41617,0.25585,-1.57626,2
-0.42738,0.24743,-1.59415,2
-0.40591,0.22847,-1.58238,2
0.04295,-0.58373,-1.76561,2
0.03697,-0.61207,-1.77567,2
0.05197,-0.54384,-1.74968,2
0.16359,-0.25622,-1.67278,2
0.14577,-0.23934,-1.71039,2
0.1319,-0.25505,-1.6616,2
-0.16025,0.49622,-1.53693,2
-0.17331,0.52099,-1.54548,2
-0.15777,0.48463,-1.57214,2
-0.37737,0.48398,-1.52704,2
-0.33633,0.45621,-1.54227,2
-0.34516,0.49963,-1.55161,2
-0.3555,0.34799,-1.51959,2
-0.32725,0.32127,-1.51198,2
-0.31102,0.33037,-1.55869,2
-0.20353,0.04384,-1.63515,2
-0.2259,0.04772,-1.66013,2
-0.18451,0.0353,-1.6214,2
-0.59197,0.36335,-1.64758,2
-0.57789,0.34474,-1.6444,2
-0.59497,0.37889,-1.67067,2
-0.88122,0.36465,-1.58769,2
-0.86059,0.35437,-1.57674,2
-0.88081,0.37548,-1.63289,2
-0.40538,-0.08239,-1.57472,2
-0.4202,-0.0604,-1.61206,2
-0.43105,-0.12422,-1.57096,2
-0.13382,-0.19009,-1.67455,2
-0.11344,-0.21928,-1.68138,2
-0.15148,-0.17145,-1.69939,2
-0.28318,-0.07311,-1.65892,2
-0.25994,-0.07977,-1.65925,2
-0.28642,-0.09375,-1.6959,2
-0.32302,0.01968,-1.57715,2
-0.36474,0.01952,-1.609,2
-0.30822,0.01417,-1.57123,2
-0.32313,0.01662,-1.58317,2
-0.32732,0.00384,-1.57031,2
-0.31987,0.00707,-1.58528,2
-0.31558,0.02641,-1.59201,2
-0.29826,0.02023,-1.60732,2
-0.2937,0.01712,-1.59251,2
-0.302,0.01969,-1.59486,2
-0.29875,0.04441,-1.59312,2
-0.31052,0.03637,-1.58045,2
-0.30676,0.01808,-1.56477,2
-0.29462,0.0137,-1.53981,2
-0.29473,-0.00207,-1.56701,2
-0.31061,0.02472,-1.5477,2
-0.33308,0.07349,-1.53177,2
-0.33837,0.04116,-1.55116,2
-0.29293,0.02243,-1.58519,2
-0.27817,0.02031,-1.57668,2
-0.2905,0.05303,-1.57853,2
-0.30479,0.02544,-1.61042,2
-0.30501,0.02359,-1.62385,2
-0.2686,0.01559,-1.59776,2
-0.33721,0.03877,-1.5565,2
-0.33149,0.05508,-1.55245,2
-0.3321,0.05096,-1.59632,2
-0.32666,0.01184,-1.56479,2
-0.35382,0.00587,-1.56236,2
-0.35973,-0.02457,-1.56713,2
-0.30479,0.00542,-1.60906,2
-0.29262,0.01694,-1.65026,2
-0.27941,0.02092,-1.60575,2
-0.31187,0.23533,-1.49104,2
-0.3202,0.25796,-1.53393,2
-0.30868,0.25229,-1.46514,2
-0.30461,0.19024,-1.65358,2
-0.31055,0.20387,-1.64288,2
-0.28531,0.19082,-1.67803,2
-0.30039,-0.05921,-1.81042,2
-0.3,-0.10443,-1.81021,2
-0.28861,-0.06789,-1.81943,2
-0.30829,-0.00028,-1.65504,2
-0.32846,0.00601,-1.66974,2
-0.30609,0.00318,-1.71398,2
-0.30421,0.0435,-1.62169,2
-0.29287,0.0372,-1.65701,2
-0.26263,0.01987,-1.63718,2
-0.29431,0.055,-1.60281,2
-0.25788,0.05993,-1.57815,2
-0.3212,0.04603,-1.58509,2
-0.30126,0.09133,-1.57952,2
-0.27998,0.06777,-1.60333,2
-0.30503,0.07612,-1.57723,2
-0.3092,0.08157,-1.59669,2
-0.32093,0.09168,-1.59222,2
-0.31419,0.08283,-1.60412,2
-0.30142,0.07582,-1.58681,2
-0.32317,0.08136,-1.57761,2
-0.27179,0.07618,-1.56934,2
-0.31496,0.04578,-1.6363,2
-0.30513,0.05205,-1.65653,2
-0.32205,0.03525,-1.65247,2
-0.29705,0.02548,-1.65519,2
-0.31295,0.01653,-1.6794,2
-0.30115,0.03302,-1.64413,2
-0.29628,0.07024,-1.60373,2
-0.28625,0.06323,-1.62224,2
-0.26204,0.09226,-1.61621,2
-0.30416,0.07105,-1.59583,2
-0.30097,0.05374,-1.58834,2
-0.31033,0.06169,-1.59638,2
-0.28405,0.02993,-1.60531,2
-0.26249,0.00127,-1.56862,2
-0.25486,0.04144,-1.62051,2
-0.29566,0.03965,-1.60334,2
-0.28019,0.05889,-1.59174,2
-0.28714,0.03166,-1.5977,2
-0.29075,0.05425,-1.6016,2
-0.27403,0.05201,-1.58595,2
-0.30814,0.01988,-1.5726,2
-0.27991,0.05789,-1.58599,2
-0.2804,0.07819,-1.6124,2
-0.29395,0.08349,-1.59775,2
-0.27833,0.06673,-1.57099,2
-0.31896,0.04361,-1.59623,2
-0.25543,0.06794,-1.58512,2
-0.21061,0.07235,-1.59321,2
-0.23123,0.0797,-1.64356,2
-0.18131,0.04227,-1.58559,2
-0.11733,0.22675,-1.5588,2
-0.10506,0.21678,-1.56481,2
-0.11882,0.22134,-1.56595,2
