X,Y,Z,label
15.335200000000002,-1.0230000000000004,-8.062000000000001,3
14.384599999999999,-1.161,-8.458,3
14.621799999999999,-2.0254000000000003,-9.3272,3
15.732000000000001,-2.2218,-9.162799999999999,3
14.5086,-1.9200000000000004,-8.4586,3
14.668400000000002,-2.0212,-8.1936,3
14.6478,-1.8014000000000001,-8.0634,3
14.916800000000002,-1.7892000000000001,-8.3364,3
14.8586,-1.8725999999999998,-8.402999999999999,3
14.5338,-1.7517999999999998,-8.6122,3
14.4832,-1.9032,-8.697,3
15.468,-2.0344000000000007,-8.6572,3
15.331800000000001,-2.0771999999999995,-8.396799999999999,3
14.401200000000001,-1.9106000000000003,-8.3814,3
14.2754,-1.7579999999999998,-8.6106,3
14.213999999999999,-1.8056,-8.3158,3
14.3916,-1.7475999999999996,-8.1976,3
14.822800000000003,-1.8546,-8.1962,3
15.2646,-1.9344,-8.1366,3
14.057599999999997,-1.8314,-6.8192,3
16.958,-1.1508,-6.946600000000001,3
6.373000000000001,-0.5738000000000001,-8.308,3
-9.787999999999998,-0.35980000000000006,-9.434999999999999,3
18.073600000000003,-1.1203999999999998,-12.511,3
19.0564,-2.1256000000000004,-11.9902,3
-11.4344,-1.1022,-10.526399999999999,3
0.21820000000000006,-1.6018000000000001,-11.8414,3
12.2566,-2.6132,-12.550800000000002,3
13.457,-1.967,-12.323999999999998,3
18.2408,-0.46800000000000014,-9.4442,3
16.713999999999995,0.8310000000000001,-7.8452,3
11.411799999999998,-1.1974,-10.9682,3
10.059800000000001,-1.9826000000000001,-11.0548,3
11.8544,-0.9348000000000002,-8.895199999999999,3
12.5446,0.5664000000000001,-11.999400000000001,3
13.833,0.4996000000000001,-11.9146,3
14.3426,-1.8488,-11.474,3
14.900800000000002,-2.2582,-16.069000000000003,3
16.6172,-0.7073999999999998,-13.5032,3
17.795599999999997,0.6826000000000001,-8.4468,3
14.205599999999999,-0.2352000000000001,-8.7962,3
10.57,-0.7820000000000001,-9.9324,3
12.0918,-1.0863999999999998,-10.190999999999999,3
12.3674,-0.9024000000000001,-10.1196,3
12.579599999999997,0.2720000000000001,-10.973199999999997,3
13.9542,-1.2892,-12.2118,3
13.626399999999999,-1.8091999999999997,-13.673599999999999,3
11.897600000000002,-0.9763999999999996,-11.161,3
11.3792,0.23960000000000012,-9.146600000000001,3
11.565199999999999,-0.11600000000000005,-10.9752,3
12.808600000000002,-1.1782,-10.8386,3
16.1948,-0.6352000000000002,-14.934,3
16.7288,1.893,-14.202400000000003,3
16.1858,3.9020000000000006,-9.871000000000002,3
15.656199999999997,0.6062,-11.068400000000002,3
12.076200000000002,-1.0338,-10.742800000000003,3
13.967400000000003,-1.102,-10.503400000000001,3
15.652599999999998,-1.2489999999999999,-11.0242,3
13.3704,-0.6492,-10.5676,3
13.6908,-0.7974,-10.2354,3
14.6026,-0.7878000000000002,-10.4346,3
13.5492,-0.9572000000000002,-10.088199999999999,3
13.447799999999999,-1.251,-10.1416,3
14.2682,-1.3716,-10.041999999999998,3
13.213600000000001,-1.6153999999999997,-9.2978,3
14.427200000000001,-1.1238000000000001,-9.404,3
16.6788,-0.835,-11.2,3
15.149599999999998,-0.9946,-11.316600000000001,3
13.4664,-0.8782000000000002,-9.906799999999999,3
13.493400000000001,-0.8672,-9.869,3
14.412799999999999,-0.7378,-10.092799999999997,3
14.32,-0.7346,-10.226399999999998,3
13.757000000000003,-0.7894000000000001,-9.874600000000001,3
13.8366,-0.8466,-9.8424,3
13.848999999999998,-0.8924,-9.971599999999999,3
13.316399999999998,-0.9576,-9.818200000000001,3
13.6886,-0.8646,-9.759599999999999,3
13.890799999999999,-0.867,-9.5594,3
13.758199999999999,-0.8896,-9.5476,3
14.845800000000002,-0.5778,-9.875200000000001,3
14.5022,-0.6796,-10.1938,3
13.473999999999998,-0.9490000000000001,-9.7828,3
13.721599999999999,-1.0246000000000002,-9.3342,3
13.613599999999998,-1.0224000000000002,-9.4346,3
14.2822,-0.7372,-9.157,3
18.526000000000003,-0.26880000000000004,-9.686799999999998,3
16.851200000000002,-0.6620000000000001,-11.025599999999999,3
14.133199999999999,-1.4313999999999998,-11.0552,3
14.449999999999998,-1.594,-9.6188,3
14.048800000000002,-1.3297999999999999,-8.96,3
14.3176,-1.3154,-8.8878,3
14.703,-1.253,-8.868999999999998,3
15.259400000000001,-1.2233999999999998,-8.6318,3
17.159000000000002,-1.0863999999999998,-8.3698,3
9.056600000000001,-0.8772000000000001,-8.605,3
-2.5022,-1.357,-9.1992,3
6.064,-1.3272,-10.6292,3
14.127999999999997,-1.3115999999999999,-11.419,3
12.845999999999998,-1.4002000000000001,-11.0942,3
12.8772,-1.2054000000000002,-10.5842,3
13.1644,-1.2206000000000001,-10.649399999999998,3
13.448599999999997,-1.3610000000000002,-10.715399999999997,3
13.494599999999998,-1.4108,-10.545,3
13.4564,-1.3658,-10.656799999999999,3
12.8662,-1.3692000000000002,-11.001399999999999,3
12.8472,-1.3428,-11.180399999999999,3
13.310399999999998,-1.2619999999999998,-10.993599999999999,3
12.8688,-1.2138,-11.0154,3
14.023400000000002,-1.4116000000000002,-12.134999999999998,3
14.064199999999998,-1.4295999999999998,-12.151,3
12.809799999999997,-1.2734,-11.2018,3
19.6812,-1.4746000000000001,-11.1068,3
23.0116,-1.5726000000000002,-10.730800000000002,3
